State,Crop,Season,Rainfall,Area,Production,Yield
Maharashtra,Wheat,Rabi,620.0,4972.8,26580.4,5.35
Bihar,Rice,Kharif,916.3,3746.4,16571.0,4.42
Assam,Rice,Kharif,1177.3,2593.2,13563.7,5.23
Sikkim,Groundnut,Kharif,600.2,4539.9,10862.4,2.39
Uttarakhand,Wheat,Rabi,572.5,3377.7,18981.3,5.62
Andhra Pradesh,Sugarcane,Kharif,953.2,313.7,29011.7,92.49
Kerala,Sugarcane,Kharif,1671.8,4770.1,436617.0,91.53
Mizoram,Sugarcane,Kharif,1329.5,1035.5,108206.0,104.5
Andhra Pradesh,Maize,Kharif,584.7,4687.2,19060.5,4.07
Uttar Pradesh,Maize,Kharif,785.0,4399.1,17821.5,4.05
Mizoram,Mustard,Rabi,509.1,1861.5,3276.8,1.76
Jharkhand,Groundnut,Kharif,667.9,125.4,287.6,2.29
Bihar,Cotton,Kharif,825.0,3999.4,12340.2,3.09
Kerala,Maize,Kharif,669.0,276.1,1179.5,4.27
Tripura,Potato,Rabi,617.1,2995.1,83573.6,27.9
Sikkim,Rice,Kharif,933.6,2659.0,12751.6,4.8
Rajasthan,Sugarcane,Kharif,1203.0,1052.5,107479.7,102.12
Manipur,Maize,Kharif,818.7,1682.5,7838.1,4.66
Mizoram,Mustard,Rabi,381.2,484.4,821.8,1.7
Chhattisgarh,Potato,Rabi,785.1,949.1,25461.4,26.83
Andhra Pradesh,Wheat,Rabi,533.9,996.0,4837.0,4.86
Madhya Pradesh,Sugarcane,Kharif,1402.1,3677.2,341164.2,92.78
Assam,Potato,Rabi,542.4,170.5,5530.9,32.43
Maharashtra,Sugarcane,Kharif,803.6,2376.9,190454.9,80.13
Chhattisgarh,Groundnut,Kharif,519.2,4444.7,10353.2,2.33
Punjab,Potato,Rabi,650.3,898.4,26815.5,29.85
Telangana,Groundnut,Kharif,877.7,3218.4,7376.2,2.29
Punjab,Mustard,Rabi,503.2,4121.1,7339.4,1.78
Kerala,Maize,Kharif,910.2,1112.8,4678.3,4.2
Madhya Pradesh,Wheat,Rabi,463.6,1988.4,9609.9,4.83
Jharkhand,Potato,Rabi,536.2,2530.6,68017.1,26.88
Uttar Pradesh,Sugarcane,Kharif,1083.2,4841.1,498835.5,103.04
Bihar,Potato,Rabi,569.4,2922.0,87754.1,30.03
Assam,Cotton,Kharif,686.0,4306.2,13708.1,3.18
Mizoram,Groundnut,Kharif,800.3,605.3,1496.4,2.47
Mizoram,Rice,Kharif,1354.7,2007.1,12067.8,6.01
Kerala,Barley,Rabi,554.1,4788.3,14274.2,2.98
Punjab,Maize,Kharif,746.5,2813.1,11449.3,4.07
Rajasthan,Cotton,Kharif,973.1,656.0,1687.1,2.57
Rajasthan,Potato,Rabi,789.7,4846.4,141160.4,29.13
Himachal Pradesh,Potato,Rabi,734.8,4208.6,125839.9,29.9
Maharashtra,Mustard,Rabi,321.8,515.7,819.9,1.59
Odisha,Mustard,Rabi,412.3,4082.7,7041.8,1.72
Gujarat,Barley,Rabi,477.6,1952.1,6505.2,3.33
Gujarat,Potato,Rabi,762.5,2513.9,62487.8,24.86
Madhya Pradesh,Wheat,Rabi,614.0,2958.5,14976.5,5.06
Tripura,Rice,Kharif,974.6,2238.0,10801.7,4.83
Uttar Pradesh,Sugarcane,Kharif,747.7,3507.5,318349.8,90.76
Tripura,Wheat,Rabi,508.2,1543.0,7187.4,4.66
Andhra Pradesh,Sugarcane,Kharif,1466.6,4797.6,433496.6,90.36
Meghalaya,Mustard,Rabi,418.4,1744.7,2826.2,1.62
Uttar Pradesh,Cotton,Kharif,731.8,4874.5,13822.7,2.84
Uttarakhand,Soybean,Kharif,612.9,2114.9,3521.2,1.66
Madhya Pradesh,Maize,Kharif,911.3,2149.4,9870.6,4.59
Telangana,Wheat,Rabi,643.1,2115.2,11044.8,5.22
Sikkim,Rice,Kharif,1332.3,2025.6,12255.2,6.05
Uttarakhand,Rice,Kharif,1654.5,2132.6,10298.6,4.83
Andhra Pradesh,Sugarcane,Kharif,762.0,3868.0,349986.1,90.48
Chhattisgarh,Potato,Rabi,739.9,2307.7,58745.4,25.46
Maharashtra,Rice,Kharif,1758.6,3128.8,14960.6,4.78
West Bengal,Mustard,Rabi,306.7,2433.4,3365.2,1.38
Assam,Wheat,Rabi,748.3,2077.1,10573.6,5.09
Meghalaya,Groundnut,Kharif,802.1,3550.0,8567.9,2.41
Odisha,Groundnut,Kharif,554.5,2022.0,4033.1,1.99
Uttarakhand,Maize,Kharif,952.1,2618.5,9304.0,3.55
Telangana,Groundnut,Kharif,709.4,4226.2,11010.9,2.61
Mizoram,Cotton,Kharif,729.6,2513.8,8295.6,3.3
Madhya Pradesh,Maize,Kharif,768.6,3518.6,15039.8,4.27
Bihar,Mustard,Rabi,509.0,4384.2,7700.3,1.76
Uttarakhand,Wheat,Rabi,660.7,1803.3,9059.6,5.02
Sikkim,Sugarcane,Kharif,1303.6,1844.4,179433.1,97.29
Maharashtra,Wheat,Rabi,495.1,2457.6,11244.4,4.58
Sikkim,Mustard,Rabi,562.1,399.3,680.2,1.7
Uttar Pradesh,Cotton,Kharif,903.1,1915.3,5454.3,2.85
Sikkim,Potato,Rabi,704.0,3630.5,102267.9,28.17
Uttar Pradesh,Mustard,Rabi,339.9,249.3,413.1,1.66
Nagaland,Potato,Rabi,541.7,613.9,17867.8,29.11
Tamil Nadu,Sugarcane,Kharif,900.5,1780.3,155405.6,87.29
Tripura,Cotton,Kharif,677.6,2450.0,7481.5,3.05
Bihar,Soybean,Kharif,834.7,1490.5,3356.3,2.25
Goa,Cotton,Kharif,823.0,1844.9,5477.9,2.97
Madhya Pradesh,Soybean,Kharif,842.3,1014.2,2027.3,2.0
Telangana,Groundnut,Kharif,836.9,189.4,369.3,1.95
Chhattisgarh,Cotton,Kharif,998.6,126.0,332.8,2.64
Sikkim,Rice,Kharif,1341.7,4122.2,23954.9,5.81
Arunachal Pradesh,Mustard,Rabi,443.0,3707.6,7063.3,1.91
Kerala,Rice,Kharif,1449.6,2948.1,15437.1,5.24
Karnataka,Cotton,Kharif,660.3,2788.2,8117.5,2.91
Jharkhand,Wheat,Rabi,562.8,1347.7,7380.9,5.48
Chhattisgarh,Barley,Rabi,528.1,1809.5,5700.8,3.15
Mizoram,Sugarcane,Kharif,1613.7,709.1,68406.0,96.47
Telangana,Barley,Rabi,361.5,335.7,1052.3,3.13
Haryana,Barley,Rabi,525.2,4143.2,14723.0,3.55
Chhattisgarh,Sugarcane,Kharif,959.3,2982.7,276763.8,92.79
Nagaland,Mustard,Rabi,435.6,4508.4,8630.7,1.91
Goa,Rice,Kharif,1572.8,1981.1,10366.6,5.23
Maharashtra,Sugarcane,Kharif,1697.1,672.8,58532.2,87.0
Goa,Maize,Kharif,813.9,3138.4,13453.9,4.29
Punjab,Groundnut,Kharif,729.3,3786.8,10413.6,2.75
Chhattisgarh,Groundnut,Kharif,557.3,3797.7,7736.9,2.04
Sikkim,Soybean,Kharif,814.6,2339.3,5230.4,2.24
Punjab,Mustard,Rabi,450.7,3882.2,6615.3,1.7
Uttarakhand,Maize,Kharif,847.0,1333.8,5794.4,4.34
Chhattisgarh,Cotton,Kharif,590.8,2363.8,6713.4,2.84
Maharashtra,Potato,Rabi,634.5,3096.1,95183.5,30.74
Manipur,Mustard,Rabi,561.6,4620.2,8317.2,1.8
Haryana,Potato,Rabi,708.5,437.7,12110.0,27.67
Odisha,Mustard,Rabi,552.1,911.1,1583.3,1.74
Bihar,Soybean,Kharif,935.0,1626.1,2989.9,1.84
Odisha,Mustard,Rabi,482.4,3960.2,6696.4,1.69
Uttar Pradesh,Barley,Rabi,334.3,4331.2,13105.2,3.03
Goa,Wheat,Rabi,613.0,260.9,1432.0,5.49
Uttarakhand,Maize,Kharif,624.1,911.0,3999.3,4.39
Rajasthan,Mustard,Rabi,393.4,1142.1,2066.6,1.81
Mizoram,Groundnut,Kharif,890.2,2830.8,5493.1,1.94
Sikkim,Mustard,Rabi,450.7,1128.5,2078.6,1.84
Odisha,Rice,Kharif,932.9,2867.7,12946.1,4.51
Nagaland,Rice,Kharif,1598.0,2063.7,9793.9,4.75
Goa,Maize,Kharif,577.6,4322.7,16538.0,3.83
Gujarat,Maize,Kharif,686.7,224.4,914.4,4.07
West Bengal,Wheat,Rabi,753.4,2803.4,13916.6,4.96
Assam,Mustard,Rabi,358.8,2890.3,4510.1,1.56
Odisha,Rice,Kharif,1401.0,4046.0,23850.2,5.89
Telangana,Mustard,Rabi,542.1,525.9,913.5,1.74
Jharkhand,Groundnut,Kharif,794.4,701.6,1755.2,2.5
Odisha,Cotton,Kharif,821.5,1745.7,5404.6,3.1
Arunachal Pradesh,Maize,Kharif,795.1,3158.3,13550.3,4.29
Goa,Barley,Rabi,430.8,4019.3,13630.8,3.39
Mizoram,Wheat,Rabi,457.9,2754.0,11695.1,4.25
Madhya Pradesh,Barley,Rabi,377.4,1434.3,4178.4,2.91
Karnataka,Soybean,Kharif,965.7,2924.9,4882.9,1.67
Goa,Wheat,Rabi,644.0,153.9,865.9,5.63
Rajasthan,Barley,Rabi,379.9,1328.6,4706.0,3.54
Madhya Pradesh,Barley,Rabi,448.3,3877.5,13709.1,3.54
Maharashtra,Wheat,Rabi,508.2,505.7,2721.6,5.38
Bihar,Maize,Kharif,622.7,3623.3,14577.1,4.02
Gujarat,Mustard,Rabi,469.9,3352.0,5770.9,1.72
Sikkim,Soybean,Kharif,893.0,2532.2,4805.3,1.9
Madhya Pradesh,Wheat,Rabi,668.2,1787.5,9654.3,5.4
Haryana,Rice,Kharif,1271.5,472.1,2650.6,5.61
Nagaland,Sugarcane,Kharif,702.6,125.7,11757.4,93.5
Kerala,Maize,Kharif,657.3,524.9,2464.0,4.69
Meghalaya,Mustard,Rabi,527.5,3819.3,6945.1,1.82
Chhattisgarh,Soybean,Kharif,854.9,3496.6,8452.2,2.42
Himachal Pradesh,Potato,Rabi,415.8,4633.7,124998.5,26.98
Tamil Nadu,Potato,Rabi,627.2,4858.2,160320.1,33.0
Tamil Nadu,Wheat,Rabi,710.8,2330.2,10755.1,4.62
Uttarakhand,Potato,Rabi,657.8,2457.2,76310.7,31.06
Assam,Sugarcane,Kharif,1283.3,2082.0,188153.2,90.37
Gujarat,Mustard,Rabi,461.8,4441.3,8739.3,1.97
Jharkhand,Wheat,Rabi,458.5,204.2,965.7,4.73
Tamil Nadu,Wheat,Rabi,778.7,2451.4,12010.4,4.9
Tripura,Mustard,Rabi,381.5,549.3,946.5,1.72
Gujarat,Cotton,Kharif,868.8,1507.5,3963.5,2.63
Bihar,Wheat,Rabi,531.8,187.6,840.8,4.48
Maharashtra,Barley,Rabi,332.8,2983.9,8636.8,2.89
Gujarat,Mustard,Rabi,565.3,4528.2,7330.3,1.62
Arunachal Pradesh,Barley,Rabi,523.0,1229.8,3746.7,3.05
Odisha,Potato,Rabi,418.8,280.0,6861.9,24.51
Uttar Pradesh,Maize,Kharif,913.1,2639.5,11185.9,4.24
Punjab,Potato,Rabi,610.0,2624.7,75069.0,28.6
Nagaland,Rice,Kharif,1038.5,2731.2,14238.2,5.21
Himachal Pradesh,Cotton,Kharif,790.0,4399.6,11600.8,2.64
Assam,Barley,Rabi,313.3,4664.8,14558.5,3.12
Karnataka,Wheat,Rabi,593.0,1372.8,7229.7,5.27
Chhattisgarh,Potato,Rabi,613.0,4541.9,149883.3,33.0
Assam,Mustard,Rabi,498.6,4336.0,7863.4,1.81
Andhra Pradesh,Soybean,Kharif,808.5,886.0,2088.6,2.36
Madhya Pradesh,Barley,Rabi,579.0,3525.1,9248.0,2.62
West Bengal,Groundnut,Kharif,852.7,125.2,307.9,2.46
Karnataka,Sugarcane,Kharif,1517.9,4108.0,342764.7,83.44
Maharashtra,Groundnut,Kharif,577.3,667.6,1389.7,2.08
Arunachal Pradesh,Mustard,Rabi,545.6,1488.4,2069.9,1.39
Gujarat,Potato,Rabi,572.9,3793.1,119884.5,31.61
Sikkim,Cotton,Kharif,586.9,4741.8,13446.7,2.84
Mizoram,Soybean,Kharif,883.4,3273.1,6708.8,2.05
Punjab,Groundnut,Kharif,526.3,1922.0,4511.1,2.35
Odisha,Potato,Rabi,400.4,600.7,13832.7,23.03
Himachal Pradesh,Groundnut,Kharif,710.8,1562.0,4202.8,2.69
Arunachal Pradesh,Cotton,Kharif,827.3,2156.7,6066.3,2.81
Uttarakhand,Cotton,Kharif,698.8,4921.5,13774.5,2.8
Andhra Pradesh,Potato,Rabi,757.6,4335.4,103702.6,23.92
Meghalaya,Mustard,Rabi,347.8,546.7,844.6,1.54
Haryana,Wheat,Rabi,716.4,4003.0,21366.6,5.34
Tripura,Groundnut,Kharif,550.1,2208.5,5096.3,2.31
Goa,Barley,Rabi,348.2,2222.9,7369.3,3.32
Madhya Pradesh,Rice,Kharif,910.5,2023.2,7686.4,3.8
Maharashtra,Soybean,Kharif,716.7,294.1,651.5,2.21
Sikkim,Maize,Kharif,552.5,4934.6,18263.3,3.7
Manipur,Soybean,Kharif,847.3,1699.7,3838.8,2.26
Arunachal Pradesh,Rice,Kharif,979.1,262.7,1195.8,4.55
Punjab,Potato,Rabi,558.8,4022.9,113357.5,28.18
Arunachal Pradesh,Potato,Rabi,467.0,3218.5,80831.7,25.11
Assam,Soybean,Kharif,837.9,4682.5,10080.8,2.15
Haryana,Wheat,Rabi,668.9,3100.1,18257.1,5.89
Gujarat,Cotton,Kharif,776.5,299.7,915.2,3.05
West Bengal,Potato,Rabi,575.4,3007.1,97465.9,32.41
Kerala,Barley,Rabi,561.5,3327.7,9648.9,2.9
Odisha,Wheat,Rabi,457.3,1728.3,7935.1,4.59
Telangana,Barley,Rabi,448.0,2150.2,6533.8,3.04
Manipur,Rice,Kharif,1656.4,4807.8,21625.9,4.5
Uttar Pradesh,Mustard,Rabi,427.6,3653.8,6044.5,1.65
Bihar,Wheat,Rabi,659.2,3309.5,20022.8,6.05
Odisha,Maize,Kharif,641.9,4196.4,17155.3,4.09
Andhra Pradesh,Maize,Kharif,888.0,3049.1,11768.9,3.86
Jharkhand,Wheat,Rabi,513.3,4366.7,22841.9,5.23
Manipur,Mustard,Rabi,473.8,566.8,1051.5,1.86
Mizoram,Barley,Rabi,590.8,3890.0,10046.6,2.58
Telangana,Cotton,Kharif,984.9,1256.6,3107.1,2.47
Assam,Soybean,Kharif,667.9,2211.3,4463.2,2.02
Punjab,Mustard,Rabi,485.1,918.5,1689.8,1.84
Punjab,Barley,Rabi,481.7,3556.4,12310.0,3.46
Telangana,Soybean,Kharif,682.3,1421.8,2593.3,1.82
Arunachal Pradesh,Barley,Rabi,459.4,1649.2,6349.3,3.85
Mizoram,Maize,Kharif,520.8,4934.5,16770.0,3.4
Telangana,Wheat,Rabi,563.1,2656.5,15297.2,5.76
Tamil Nadu,Soybean,Kharif,655.9,1608.9,2773.6,1.72
Meghalaya,Wheat,Rabi,520.6,4353.9,22628.5,5.2
Sikkim,Wheat,Rabi,681.6,1934.1,11701.0,6.05
Nagaland,Wheat,Rabi,666.2,4661.6,27286.7,5.85
Maharashtra,Cotton,Kharif,838.3,3328.5,9019.6,2.71
Rajasthan,Sugarcane,Kharif,1334.9,1658.7,152089.3,91.69
Andhra Pradesh,Barley,Rabi,598.0,543.4,1563.8,2.88
Himachal Pradesh,Cotton,Kharif,825.3,4516.7,14035.0,3.11
Madhya Pradesh,Barley,Rabi,395.2,1940.8,7269.7,3.75
Sikkim,Groundnut,Kharif,502.3,3507.8,6355.9,1.81
West Bengal,Barley,Rabi,478.9,2277.7,7684.1,3.37
Goa,Potato,Rabi,634.8,2552.2,71944.8,28.19
Rajasthan,Potato,Rabi,780.6,4579.8,128135.8,27.98
Uttar Pradesh,Barley,Rabi,414.1,3078.7,10614.4,3.45
Meghalaya,Groundnut,Kharif,825.2,4782.1,12074.5,2.52
Madhya Pradesh,Sugarcane,Kharif,915.4,1293.1,102973.7,79.64
Karnataka,Maize,Kharif,530.1,1823.0,7645.9,4.19
Arunachal Pradesh,Cotton,Kharif,628.4,2741.9,7525.4,2.74
Meghalaya,Potato,Rabi,644.1,1435.9,44293.4,30.85
Bihar,Potato,Rabi,448.8,2673.3,64196.1,24.01
Gujarat,Mustard,Rabi,538.0,4597.0,7097.6,1.54
Punjab,Cotton,Kharif,543.5,650.3,1791.7,2.76
Madhya Pradesh,Groundnut,Kharif,755.2,3008.3,6986.5,2.32
Uttar Pradesh,Barley,Rabi,494.0,3872.7,12458.0,3.22
Mizoram,Potato,Rabi,502.3,3686.6,99478.0,26.98
Bihar,Groundnut,Kharif,767.0,2974.4,6368.9,2.14
Manipur,Rice,Kharif,1563.2,1162.0,6887.0,5.93
Mizoram,Soybean,Kharif,609.5,1236.5,2285.6,1.85
Maharashtra,Barley,Rabi,449.0,768.6,2958.9,3.85
Rajasthan,Wheat,Rabi,591.5,4957.2,27139.4,5.47
West Bengal,Maize,Kharif,801.6,4537.1,19915.6,4.39
Madhya Pradesh,Cotton,Kharif,542.8,1210.6,3297.3,2.72
Himachal Pradesh,Groundnut,Kharif,527.8,431.3,874.4,2.03
Chhattisgarh,Sugarcane,Kharif,998.3,2338.6,214516.3,91.73
Sikkim,Soybean,Kharif,620.9,1878.4,3323.9,1.77
Assam,Wheat,Rabi,606.2,4812.2,24862.6,5.17
Manipur,Barley,Rabi,351.1,2171.2,6716.3,3.09
Tamil Nadu,Rice,Kharif,1170.8,687.2,3866.8,5.63
Odisha,Mustard,Rabi,306.0,3866.1,5759.7,1.49
Andhra Pradesh,Barley,Rabi,501.5,4337.0,13579.6,3.13
Rajasthan,Soybean,Kharif,663.7,676.5,1148.1,1.7
Tamil Nadu,Wheat,Rabi,569.6,2597.6,13168.4,5.07
Assam,Cotton,Kharif,639.9,4379.3,13585.6,3.1
Goa,Maize,Kharif,893.1,2555.6,10315.0,4.04
Mizoram,Potato,Rabi,615.9,3404.1,107599.5,31.61
Jharkhand,Soybean,Kharif,656.5,212.2,371.5,1.75
Uttarakhand,Wheat,Rabi,528.3,2907.9,16861.8,5.8
Jharkhand,Barley,Rabi,472.5,782.1,2765.2,3.54
Meghalaya,Soybean,Kharif,931.7,4768.7,8485.5,1.78
Goa,Barley,Rabi,499.9,1239.5,3930.6,3.17
Madhya Pradesh,Cotton,Kharif,719.8,3240.0,7975.5,2.46
Karnataka,Wheat,Rabi,677.6,4974.8,24127.7,4.85
Telangana,Barley,Rabi,429.1,465.7,1491.4,3.2
West Bengal,Maize,Kharif,588.9,1221.6,5397.3,4.42
Chhattisgarh,Groundnut,Kharif,588.3,3313.0,7309.4,2.21
Goa,Groundnut,Kharif,789.7,1835.8,4847.8,2.64
Uttarakhand,Soybean,Kharif,931.0,3869.6,7767.4,2.01
Tamil Nadu,Wheat,Rabi,496.8,3436.8,16548.3,4.82
Telangana,Groundnut,Kharif,747.6,4188.1,10220.9,2.44
Madhya Pradesh,Sugarcane,Kharif,918.7,1402.7,111574.0,79.54
Karnataka,Sugarcane,Kharif,1628.8,2492.4,195079.9,78.27
Bihar,Wheat,Rabi,563.6,2032.9,10913.5,5.37
Goa,Potato,Rabi,714.0,4781.1,145103.5,30.35
Mizoram,Mustard,Rabi,394.6,4220.3,7357.4,1.74
Uttar Pradesh,Mustard,Rabi,438.4,3330.8,6123.3,1.84
Uttarakhand,Soybean,Kharif,854.7,835.8,1851.3,2.21
Kerala,Rice,Kharif,1298.9,286.3,1373.5,4.8
Tamil Nadu,Rice,Kharif,964.9,1553.0,6351.8,4.09
Karnataka,Cotton,Kharif,887.3,1007.5,2997.2,2.98
Karnataka,Potato,Rabi,439.4,202.6,5430.9,26.8
Meghalaya,Rice,Kharif,1165.9,3160.9,18117.9,5.73
Arunachal Pradesh,Wheat,Rabi,453.6,4803.1,20038.9,4.17
Tamil Nadu,Wheat,Rabi,562.8,2424.2,11738.3,4.84
Arunachal Pradesh,Soybean,Kharif,794.4,867.5,2099.4,2.42
Jharkhand,Rice,Kharif,1735.3,1923.6,8479.4,4.41
Uttarakhand,Potato,Rabi,645.2,1067.6,34726.8,32.53
Maharashtra,Rice,Kharif,1481.2,4098.1,20786.0,5.07
Tamil Nadu,Groundnut,Kharif,838.6,2356.6,5854.6,2.48
Haryana,Mustard,Rabi,467.3,363.9,589.6,1.62
Sikkim,Soybean,Kharif,993.9,4107.1,7907.2,1.93
Manipur,Maize,Kharif,575.3,2125.7,8068.3,3.8
Chhattisgarh,Rice,Kharif,1357.5,4379.3,23866.1,5.45
Manipur,Barley,Rabi,528.3,2361.6,7214.0,3.05
Meghalaya,Mustard,Rabi,374.0,1099.8,2012.0,1.83
Jharkhand,Sugarcane,Kharif,1506.4,1021.3,95170.0,93.18
Himachal Pradesh,Barley,Rabi,466.3,4794.6,14443.2,3.01
Tripura,Cotton,Kharif,663.5,1597.5,4326.6,2.71
Telangana,Maize,Kharif,998.2,4442.4,16311.8,3.67
Assam,Potato,Rabi,556.6,3508.5,101140.7,28.83
Rajasthan,Potato,Rabi,647.8,3247.4,91787.4,28.26
Telangana,Sugarcane,Kharif,1338.0,2847.2,284825.8,100.04
Telangana,Wheat,Rabi,659.8,3507.5,19159.1,5.46
Kerala,Potato,Rabi,683.1,2634.6,82004.3,31.13
Meghalaya,Cotton,Kharif,561.2,406.5,1096.5,2.7
West Bengal,Barley,Rabi,579.9,2164.1,6337.1,2.93
Bihar,Cotton,Kharif,892.8,1980.8,5124.3,2.59
Himachal Pradesh,Potato,Rabi,635.1,1875.0,51293.3,27.36
Nagaland,Maize,Kharif,513.1,2638.6,8455.7,3.2
Madhya Pradesh,Maize,Kharif,970.3,2205.3,8004.1,3.63
Odisha,Sugarcane,Kharif,1626.1,2466.5,198789.6,80.59
Goa,Potato,Rabi,432.2,2532.7,71489.7,28.23
Andhra Pradesh,Mustard,Rabi,518.9,763.2,1393.4,1.83
Punjab,Mustard,Rabi,441.6,1485.5,2287.8,1.54
Jharkhand,Soybean,Kharif,704.7,1432.6,2761.2,1.93
Sikkim,Potato,Rabi,737.9,866.3,22395.3,25.85
Bihar,Mustard,Rabi,314.0,1644.4,2334.2,1.42
Uttarakhand,Groundnut,Kharif,534.6,3689.0,7454.1,2.02
Karnataka,Cotton,Kharif,564.0,3959.8,11602.4,2.93
Maharashtra,Barley,Rabi,448.3,810.3,3119.8,3.85
Tamil Nadu,Potato,Rabi,476.5,4840.0,129574.8,26.77
Himachal Pradesh,Rice,Kharif,1036.1,1329.7,6085.9,4.58
Gujarat,Soybean,Kharif,824.5,3568.4,7802.1,2.19
Mizoram,Wheat,Rabi,478.6,2475.0,11556.7,4.67
Rajasthan,Sugarcane,Kharif,1740.3,2117.7,189236.0,89.36
Gujarat,Soybean,Kharif,716.2,648.5,1525.1,2.35
Uttarakhand,Potato,Rabi,791.2,4373.5,111414.6,25.48
Uttar Pradesh,Cotton,Kharif,878.4,1103.9,3103.5,2.81
Rajasthan,Soybean,Kharif,664.6,3778.6,6926.1,1.83
Mizoram,Wheat,Rabi,472.8,4555.2,21318.9,4.68
Andhra Pradesh,Potato,Rabi,599.1,1964.1,54566.1,27.78
Odisha,Sugarcane,Kharif,1760.9,2664.3,205734.1,77.22
Telangana,Barley,Rabi,473.3,4583.9,16297.2,3.56
Haryana,Wheat,Rabi,505.3,3987.0,21220.6,5.32
Gujarat,Maize,Kharif,681.6,3030.8,14674.8,4.84
Tamil Nadu,Mustard,Rabi,568.2,845.3,1297.6,1.54
Bihar,Soybean,Kharif,987.1,1666.4,3195.6,1.92
Andhra Pradesh,Groundnut,Kharif,549.0,1682.8,3783.9,2.25
West Bengal,Soybean,Kharif,991.9,555.8,1009.7,1.82
Bihar,Barley,Rabi,546.9,1957.2,5635.8,2.88
Assam,Barley,Rabi,545.7,2408.7,7513.8,3.12
Manipur,Barley,Rabi,407.3,4158.4,14620.2,3.52
West Bengal,Potato,Rabi,497.7,2158.6,55835.4,25.87
Arunachal Pradesh,Barley,Rabi,521.9,3107.5,9397.6,3.02
Tamil Nadu,Soybean,Kharif,895.2,252.5,553.1,2.19
Meghalaya,Wheat,Rabi,563.8,441.2,2497.4,5.66
Gujarat,Soybean,Kharif,942.3,3250.1,5732.7,1.76
Bihar,Potato,Rabi,605.1,1142.0,33186.1,29.06
Assam,Barley,Rabi,391.2,3358.4,11921.0,3.55
Nagaland,Maize,Kharif,953.6,2846.2,11631.5,4.09
Uttarakhand,Wheat,Rabi,606.5,1964.0,10703.2,5.45
Maharashtra,Cotton,Kharif,509.0,233.2,565.4,2.43
Goa,Groundnut,Kharif,551.0,4910.8,11446.5,2.33
Maharashtra,Barley,Rabi,391.4,1479.5,5436.8,3.67
Manipur,Cotton,Kharif,556.3,1285.3,3391.7,2.64
Andhra Pradesh,Mustard,Rabi,385.1,463.8,857.9,1.85
Himachal Pradesh,Barley,Rabi,314.4,3006.8,9636.8,3.21
Himachal Pradesh,Mustard,Rabi,355.6,1273.6,1907.9,1.5
Mizoram,Maize,Kharif,633.9,1336.3,6352.7,4.75
Chhattisgarh,Maize,Kharif,744.2,2673.7,12945.6,4.84
Himachal Pradesh,Cotton,Kharif,934.3,4562.3,10509.2,2.3
Maharashtra,Barley,Rabi,402.2,935.9,2954.2,3.16
